,Year,City,Average_Temperature,Average_Humidity
0,2002,New Delhi,26.71991780821918,8.425753424657534
1,2003,New Delhi,25.091342465753424,9.926602739726027
2,2004,New Delhi,26.07308743169399,9.390409836065574
3,2005,New Delhi,25.458246575342468,9.470383561643835
4,2006,New Delhi,26.35994520547945,9.842273972602738
5,2007,New Delhi,25.72695890410959,10.050547945205478
6,2008,New Delhi,24.978551912568307,10.748469945355192
7,2009,New Delhi,26.20090410958904,9.399260273972603
8,2010,New Delhi,25.884164383561643,10.300904109589041
9,2011,New Delhi,24.75010958904109,10.972986301369863
10,2012,New Delhi,25.20338797814208,8.956584699453552
11,2013,New Delhi,24.33939726027397,10.691506849315068
12,2014,New Delhi,25.438794520547944,8.966794520547946
13,2015,New Delhi,25.3427397260274,9.361972602739726
14,2016,New Delhi,26.267814207650275,9.253306010928961
15,2017,New Delhi,25.820958904109588,9.298356164383561
16,2018,New Delhi,25.449835616438357,10.012931506849315
17,2019,New Delhi,25.46901369863014,10.176602739726027
18,2020,New Delhi,25.123224043715847,10.317021857923498
19,2021,New Delhi,24.724821917808217,10.89523287671233
20,2022,New Delhi,25.486383561643837,10.684876712328768
21,2002,Mumbai,27.120849315068494,13.85841095890411
22,2003,Mumbai,27.078684931506846,14.386602739726026
23,2004,Mumbai,26.818715846994536,14.170792349726776
24,2005,Mumbai,26.393150684931506,14.129013698630137
25,2006,Mumbai,26.641397260273973,14.689890410958904
26,2007,Mumbai,26.851287671232875,14.584547945205479
27,2008,Mumbai,26.480437158469947,14.125928961748635
28,2009,Mumbai,27.213178082191778,14.489972602739726
29,2010,Mumbai,26.970575342465754,15.595424657534247
30,2011,Mumbai,26.508986301369866,14.540438356164383
31,2012,Mumbai,26.444726775956287,14.01344262295082
32,2013,Mumbai,26.41249315068493,14.64558904109589
33,2014,Mumbai,26.964438356164386,14.258931506849315
34,2015,Mumbai,26.952712328767124,14.600931506849316
35,2016,Mumbai,26.556803278688527,14.211475409836064
36,2017,Mumbai,26.755835616438354,14.449561643835617
37,2018,Mumbai,26.9347397260274,13.984657534246574
38,2019,Mumbai,26.961479452054796,14.810520547945206
39,2020,Mumbai,26.761311475409833,15.45863387978142
40,2021,Mumbai,26.87583561643836,15.43950684931507
41,2022,Mumbai,26.475342465753425,14.967013698630137
42,2002,Kolkata,25.81986301369863,15.520465753424658
43,2003,Kolkata,25.83871232876712,15.566191780821917
44,2004,Kolkata,25.679207650273224,15.374071038251365
45,2005,Kolkata,25.963178082191778,15.755150684931507
46,2006,Kolkata,25.906712328767124,15.55854794520548
47,2007,Kolkata,25.472246575342467,15.389890410958905
48,2008,Kolkata,25.31789617486339,15.699098360655737
49,2009,Kolkata,26.04512328767123,15.289123287671233
50,2010,Kolkata,26.2413698630137,15.761452054794521
51,2011,Kolkata,25.675698630136985,15.435342465753424
52,2012,Kolkata,25.618005464480877,15.05704918032787
53,2013,Kolkata,25.56038356164384,15.362876712328767
54,2014,Kolkata,25.718575342465755,15.116739726027397
55,2015,Kolkata,26.069397260273973,15.633945205479453
56,2016,Kolkata,26.467322404371586,15.825765027322406
57,2017,Kolkata,26.014273972602737,15.986219178082193
58,2018,Kolkata,25.537890410958905,15.343315068493151
59,2019,Kolkata,26.14964383561644,15.7913698630137
60,2020,Kolkata,25.341967213114753,16.042978142076503
61,2021,Kolkata,26.108767123287674,15.845643835616437
62,2022,Kolkata,25.5573698630137,15.905999999999999
63,2002,Chennai,28.125561643835617,16.578109589041098
64,2003,Chennai,28.22605479452055,16.55104109589041
65,2004,Chennai,27.48762295081967,16.616967213114755
66,2005,Chennai,27.903616438356163,17.044109589041096
67,2006,Chennai,27.815315068493152,16.491232876712328
68,2007,Chennai,27.62972602739726,16.645342465753426
69,2008,Chennai,27.65737704918033,16.59633879781421
70,2009,Chennai,28.2233698630137,16.455506849315068
71,2010,Chennai,27.83421917808219,17.399863013698628
72,2011,Chennai,27.723945205479453,16.512465753424657
73,2012,Chennai,27.97418032786885,16.446120218579235
74,2013,Chennai,27.787424657534245,16.662410958904108
75,2014,Chennai,27.977424657534247,16.377068493150684
76,2015,Chennai,27.868794520547947,16.833945205479452
77,2016,Chennai,28.110464480874317,16.461721311475408
78,2017,Chennai,28.134164383561643,16.805917808219178
79,2018,Chennai,28.07704109589041,16.46358904109589
80,2019,Chennai,28.36150684931507,17.085890410958903
81,2020,Chennai,27.898005464480875,17.32688524590164
82,2021,Chennai,27.614657534246575,17.385397260273972
83,2022,Chennai,27.646602739726028,17.33235616438356
84,2002,Bangalore,23.98791780821918,12.47786301369863
85,2003,Bangalore,24.365178082191782,12.53821917808219
86,2004,Bangalore,23.163852459016393,12.752021857923497
87,2005,Bangalore,23.299835616438358,13.452520547945205
88,2006,Bangalore,23.260931506849314,12.996602739726027
89,2007,Bangalore,23.247808219178083,12.928273972602739
90,2008,Bangalore,22.75035519125683,13.139890710382513
91,2009,Bangalore,23.499068493150684,12.85441095890411
92,2010,Bangalore,23.76309589041096,13.543205479452055
93,2011,Bangalore,23.48734246575342,12.473260273972603
94,2012,Bangalore,24.368661202185795,12.082814207650275
95,2013,Bangalore,23.603698630136986,12.87068493150685
96,2014,Bangalore,24.055150684931505,12.40564383561644
97,2015,Bangalore,23.869726027397263,12.837506849315067
98,2016,Bangalore,24.487131147540985,12.067486338797814
99,2017,Bangalore,23.737013698630136,12.88958904109589
100,2018,Bangalore,23.974,12.451095890410958
101,2019,Bangalore,24.570027397260272,12.960054794520548
102,2020,Bangalore,23.895245901639345,13.516748633879782
103,2021,Bangalore,23.274383561643834,13.687205479452055
104,2022,Bangalore,23.144301369863015,13.78945205479452
